地名,センター（center.csvを使わない場合は空白化）,燃えるごみ,燃えないごみ,うばめ園資源収集,うばめ園分場持ち込み
宮本区(中央町，宮本町，上宮本町),,,,,
岩屋区，中田町(1番，2番地の一部),,,,,
中田町・立花町・引地・尾畑・長幸・近前・野近,,,,,
西ノ内・中田区,,,,,
